,worker,pretest,posttest,video,studentGender,like,helpGen,helpOthers
0,A3908297ZI3LES,0.105263157895,0.0,https://www.youtube.com/embed/oo0IlwM4IJA,1,2,2,2
1,A2C84QVRK3KG57,0.0,0.0,Videos/3ZSANO2JCF677BM1672I9LFGILHSF0/LogMath12-22-2015.webm,1,1,3,2
2,A3IDAO8T75VO3Z,0.210526315789,0.263157894737,https://www.youtube.com/embed/eafkjJPwfp4,0,4,3,4
3,A1CX684F5TEO5W,0.0,0.210526315789,https://www.youtube.com/embed/b3C6N1ytVfE,0,4,2,3
4,A3HHDPKL3O3O7Y,0.263157894737,0.263157894737,Videos/3GFK2QRXX9G8CVALK0ZAKYROZ4HW5I/logbase3of1.mp4,1,2,1,2
5,A1FS8SBR4SDWYG,0.105263157895,0.105263157895,https://www.youtube.com/embed/dsDh6cYWsfU,1,4,3,2
6,AHYP2FNFSIYM,0.789473684211,0.947368421053,https://www.youtube.com/embed/eafkjJPwfp4,1,3,2,2
7,ADOVF9SBJJK33,0.105263157895,0.210526315789,https://www.youtube.com/embed/b3C6N1ytVfE,0,3,3,3
8,A1XLJITNEP7KED,0.157894736842,0.0526315789474,https://www.youtube.com/embed/oo0IlwM4IJA,1,3,3,3
9,A35ENMEF2FYVHY,0.210526315789,0.0526315789474,Videos/3NQL1CS15R7TZUK05SZB9T63NW6YV5/12.m4v,1,4,3,3
10,A30KYQGABO7JER,1.0,0.947368421053,Videos/3LRKMWOKB5GK7TW3D4HJLVIUWSO2ZZ/log10_1000.mp4,1,2,2,2
11,A3QNCW3LR2AVOV,0.157894736842,0.315789473684,https://www.youtube.com/embed/TvTtOJ_cYVM,0,2,2,2
12,AO33H4GL9KZX9,0.0526315789474,0.157894736842,https://www.youtube.com/embed/eafkjJPwfp4,0,1,2,2
13,A1830YARZUAFPX,0.0526315789474,0.0526315789474,https://www.youtube.com/embed/TvTtOJ_cYVM,0,5,3,3
14,AASEV0P4KJRAL,0.0526315789474,0.105263157895,https://www.youtube.com/embed/mfzhcBRKoEE,0,4,3,2
15,A1BIZVZ6ZQPPQP,0.263157894737,0.157894736842,Videos/3VSOLARPKB8UMKA9D61PRHLTN6H39J/Math%2BSolve5.mp4,1,3,3,3
16,A2ZX5TLZPAQ2XD,0.0526315789474,0.0526315789474,https://www.youtube.com/embed/oo0IlwM4IJA,1,5,3,2
17,A2UF26QQNQOFCZ,0.315789473684,0.578947368421,https://www.youtube.com/embed/dsDh6cYWsfU,0,4,3,3
18,A25PFSORDO3SWQ,0.421052631579,0.473684210526,https://www.youtube.com/embed/Q1xnNrq9Hh0,0,3,3,2
19,A2M1CVZZJAN4T4,1.0,1.0,Videos/3HHRAGRYX84J893VW4LHFKJ4IUIO9Y/VID_20151221_154615.mp4,0,4,3,3
20,A24FB6EEAEZKA4,0.526315789474,0.947368421053,https://www.youtube.com/embed/dsDh6cYWsfU,1,4,3,4
21,A2LO2DX6H49IKW,0.0,0.0,Videos/3NQL1CS15R7TZUK05SZB9T63NW6YV5/12.m4v,0,2,2,3
22,A2K2BV94DU7U1B,0.210526315789,0.263157894737,https://www.youtube.com/embed/oo0IlwM4IJA,0,4,3,3
23,A3AM9JHTS7537G,0.105263157895,0.0,Videos/369J354OFD98YDKZAE5XQ1J01986GB/final%2Bupload.mp4,0,5,3,3
24,A1J2LOGAGQ7HNT,0.157894736842,0.368421052632,Videos/3NQL1CS15R7TZUK05SZB9T63NW6YV5/12.m4v,0,2,2,2
25,A121DO2TIST9HD,0.0,0.0526315789474,https://www.youtube.com/embed/TvTtOJ_cYVM,0,4,3,3
